Metric,Expected,Backend,Ecart,Ecart_%,OK_KO
CAPEX_FOB,145586968.2,145586968.2,0.0,0.0,OK
CAPEX_IMPORT_TTC,228775361.88,228775361.88,0.0,0.0,OK
CAPEX_IMPORTABLE,775729166.13,775729166.13,0.0,0.0,OK
ARTICLES_SANS_PRIX_CHINE,60.0,60.0,0.0,0.0,OK
TAUX_COUVERTURE_SOURCING,0.8101969265065309,0.8101969265065309,0.0,0.0,OK
